positionId,positionName,committeeId,committeeName,schoolId,schoolName,,,,,,In DB,,,,school,,,,
818,Daniel P. Huttenlocher,91,Amazon Board of Directors (2019),129,Cape Elizabeth High School,,,,,,,,,,,,,,
821,Jonathan J. Rubinstein ,91,Amazon Board of Directors (2019),129,Cape Elizabeth High School,,,,,,,,,,,,,,
203,Saudia Arabia,104,Arab League,129,Cape Elizabeth High School,,,,,,,,,,,,,,
194,Jordan,104,Arab League,129,Cape Elizabeth High School,,,,,,,,,,,,,,
701,Prince Vytautus of Lithuania,88,Congress of Lutsk (1429) ,129,Cape Elizabeth High School,,,,,,,,,,,,,,
56,Norway ,97,Disarmament and International Security Committee,129,Cape Elizabeth High School,,,,,,,,,,,,,,
55,Canada ,97,Disarmament and International Security Committee,129,Cape Elizabeth High School,,,,,,,,,,,,,,
182,Romania,99,European Union,129,Cape Elizabeth High School,,,,,,,,,,,,,,
168,Finland,99,European Union,129,Cape Elizabeth High School,,,,,,,,,,,,,,
377,Bahamas,105,GA Plenary,129,Cape Elizabeth High School,,,,,,,,,,,,,,
378,Switzerland,105,GA Plenary,129,Cape Elizabeth High School,,,,,,,,,,,,,,
429,Belgium ,101,Security Council,129,Cape Elizabeth High School,,,,,,,,,,,,,,
437,Poland,101,Security Council,129,Cape Elizabeth High School,,,,,,,,,,,,,,
669,Martha Wright,87,Seneca Falls Convention (1848),129,Cape Elizabeth High School,,,,,,,,,,,,,,
683,Harriet Cady Eaton,87,Seneca Falls Convention (1848),129,Cape Elizabeth High School,,,,,,,,,,,,,,
443,Italy,111,Special Political and Decolonization Committee,129,Cape Elizabeth High School,,,,,,,,,,,,,,
442,India,111,Special Political and Decolonization Committee,129,Cape Elizabeth High School,,,,,,,,,,,,,,
314,Netherlands,103,United Nations Economic and Social Council,129,Cape Elizabeth High School,,,,,,,,,,,,,,
836,Turkmen Soviet Socialist Republic,115,27th Congress of the Communist Party of the Soviet Union (1986),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
36,Guinea,109,African Union,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
26,South Africa,109,African Union,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
785,Friedrich Wilhelm IV,113,Frankfurt Parliament (1848),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
773,Papua New Guinea,92,Pacific Island Leaders Meeting (2018),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
775,Solomon Islands,92,Pacific Island Leaders Meeting (2018),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
657,Maria de Jesus Medina Arellano,86,Second International Summit on Human Genome Editing (2018),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
647,Stephen Quake,86,Second International Summit on Human Genome Editing (2018),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
452,China,111,Special Political and Decolonization Committee,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
459,Bolivia,111,Special Political and Decolonization Committee,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
760,United Kingdom,94,Tokyo Trials (1946-48),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
759,Harry Truman (U.S.),94,Tokyo Trials (1946-48),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
724,Afghanistan,85,UN Climate Change Conference (2020),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
715,Guyana,85,UN Climate Change Conference (2020),88,Clayton A. Bouton High School,,,,,,,,,,,,,,
251,Yemen,107,UN Women,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
252,Georgia,107,UN Women,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
78,Egypt,98,United Nations Human Rights Council,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
74,Russian Federation,98,United Nations Human Rights Council,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
294,Lebanon,106,United Nations International Children’s Emergency Fund,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
281,Oman,106,United Nations International Children’s Emergency Fund,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
355,The United Arab EMirates,100,United Nations Office on Drugs and Crime,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
333,Russian Federation,100,United Nations Office on Drugs and Crime,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
146,Lithuania,96,World Health Organization,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
141,Lebanon,96,World Health Organization,88,Clayton A. Bouton High School,,,,,,,,,,,,,,
38,Namibia,109,African Union,131,Concord Academy,,,,,,,,,,,,,,
27,South Sudan ,109,African Union,131,Concord Academy,,,,,,,,,,,,,,
816,Rosalind G. Brewer,91,Amazon Board of Directors (2019),131,Concord Academy,,,,,,,,,,,,,,
207,Tunisia,104,Arab League,131,Concord Academy,,,,,,,,,,,,,,
192,Djibouti,104,Arab League,131,Concord Academy,,,,,,,,,,,,,,
54,South Africa,97,Disarmament and International Security Committee,131,Concord Academy,,,,,,,,,,,,,,
40,United Kingdom,97,Disarmament and International Security Committee,131,Concord Academy,,,,,,,,,,,,,,
172,Hungary ,99,European Union,131,Concord Academy,,,,,,,,,,,,,,
165,Czechia ,99,European Union,131,Concord Academy,,,,,,,,,,,,,,
360,China,105,GA Plenary,131,Concord Academy,,,,,,,,,,,,,,
376,Somalia,105,GA Plenary,131,Concord Academy,,,,,,,,,,,,,,
607,Ida Tarbell,77,The Gilded Age (1892),131,Concord Academy,,,,,,,,,,,,,,
610,Samuel Gompers,77,The Gilded Age (1892),131,Concord Academy,,,,,,,,,,,,,,
585,Brazil,95,Accelerando 2030,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
593,Position 6,81,Ad-Hoc,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
6,Central African Republic ,109,African Union,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
20,Morocco,109,African Union,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
823,Patricia Q. Stonesifer,91,Amazon Board of Directors (2019),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
820,Indra K. Nooy,91,Amazon Board of Directors (2019),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
195,Kuwait,104,Arab League,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
209,Yemen,104,Arab League,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
545,"Theresa May, Prime Minister of the United Kingdom, leader of the Conservative party",93,Brexit,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
697,Ambassador Melek,88,Congress of Lutsk (1429) ,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
694,Delegate Bedrich,88,Congress of Lutsk (1429) ,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
637,Central America,84,Congress of Panama (1826),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
632,Gran Colombia,84,Congress of Panama (1826),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
529,Dennis DeConcini - Arizona,79,Convention on the Elimination of all Forms of Discrimination Against Women (CEDAW),148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
43,France,97,Disarmament and International Security Committee,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
64,South Korea ,97,Disarmament and International Security Committee,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
186,Sweden,99,European Union,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
164,Cyprus,99,European Union,148,Fayetteville-Manlius High School,,,,,,,,,,,,,,
